TITLE;221109_Temperature_Series_Example
DATA TYPE;CD SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;2022/11/09
TIME;17:05:21
SPECTROMETER/DATA SYSTEM;JASCO Corp., J-1500, Rev. 1.00
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;CD [mdeg]
Y2UNITS;HT [V]
FIRSTX;  240,0000
LASTX;  190,0000
NPOINTS;      51
FIRSTY;    -1,23198
MAXY;     8,67889
MINY;   -11,72783
XYDATA
Channel 1
;25,02;35;40,01;50,01;55,02;59,99;64,99;70;80;95
240;-1,23198;-1,31059;-1,33681;-1,40954;-1,50794;-1,5387;-1,40726;-1,51145;-1,54464;-1,60198
239;-1,4442;-1,54232;-1,53785;-1,55555;-1,6798;-1,73612;-1,56111;-1,66494;-1,73856;-1,87935
238;-1,74852;-1,74822;-1,75037;-1,72865;-1,84593;-1,93079;-1,82733;-1,85197;-1,9733;-2,12766
237;-2,051;-1,95592;-1,95143;-1,95324;-2,01237;-2,11353;-2,05916;-2,10817;-2,21155;-2,4076
236;-2,48307;-2,26452;-2,32658;-2,1693;-2,23148;-2,2852;-2,33632;-2,35798;-2,4767;-2,64729
235;-2,833;-2,58164;-2,57005;-2,3948;-2,407;-2,51041;-2,61674;-2,63347;-2,71976;-2,84473
234;-3,29506;-3,07551;-2,97125;-2,70731;-2,6948;-2,81125;-2,92961;-2,88968;-2,94584;-3,05561
233;-3,8814;-3,68669;-3,32087;-2,99597;-2,93347;-3,13309;-3,1875;-3,15307;-3,19341;-3,32852
232;-4,40474;-4,12913;-3,65615;-3,27146;-3,21406;-3,29093;-3,37807;-3,36968;-3,45206;-3,49928
231;-5,13612;-4,74109;-4,18086;-3,59633;-3,44348;-3,49632;-3,63627;-3,61017;-3,67188;-3,73019
230;-5,8872;-5,28969;-4,66204;-3,91453;-3,73452;-3,8354;-3,80617;-3,84821;-3,99433;-3,9481
229;-6,64519;-5,91958;-5,2488;-4,26643;-3,98392;-4,05281;-3,98734;-4,0994;-4,19471;-4,18502
228;-7,40743;-6,4669;-5,6936;-4,46697;-4,26545;-4,35384;-4,19555;-4,30709;-4,46517;-4,41488
227;-8,08685;-7,07754;-6,12276;-4,68578;-4,5297;-4,56293;-4,43735;-4,54453;-4,62931;-4,59019
226;-8,74253;-7,64399;-6,52657;-4,87191;-4,75114;-4,7959;-4,7303;-4,75854;-4,81851;-4,75017
225;-9,35531;-8,16971;-6,85385;-5,02796;-4,93065;-4,94753;-4,83832;-4,97938;-4,89226;-4,93194
224;-9,93336;-8,57202;-7,13909;-5,27291;-5,06923;-5,07379;-4,98279;-5,15715;-5,05388;-5,03698
223;-10,4178;-8,89326;-7,34982;-5,47643;-5,25649;-5,09624;-5,07905;-5,23983;-5,14629;-5,15017
222;-10,8673;-9,02553;-7,55822;-5,76521;-5,38005;-5,2016;-5,24497;-5,28001;-5,30512;-5,20107
221;-11,0739;-9,23656;-7,81463;-5,86447;-5,44737;-5,38357;-5,43667;-5,34639;-5,38848;-5,22991
220;-11,1957;-9,44323;-8,07396;-6,06149;-5,54929;-5,401;-5,48376;-5,44886;-5,47567;-5,25449
219;-11,267;-9,56642;-8,11048;-6,12233;-5,53826;-5,44948;-5,54107;-5,52688;-5,50274;-5,24936
218;-11,2365;-9,66574;-8,09488;-6,02945;-5,56982;-5,38665;-5,52016;-5,63445;-5,46789;-5,35948
217;-11,3484;-9,70793;-8,13576;-6,05451;-5,68006;-5,48143;-5,52139;-5,67837;-5,53099;-5,36839
216;-11,361;-9,72949;-8,28912;-6,13372;-5,69069;-5,45669;-5,52442;-5,71123;-5,50613;-5,38332
215;-11,3423;-9,70488;-8,40486;-6,20554;-5,82535;-5,58498;-5,67905;-5,70692;-5,64176;-5,2466
214;-11,3226;-9,69411;-8,41275;-6,38472;-5,84983;-5,72513;-5,85954;-5,72497;-5,66324;-5,20255
213;-11,3099;-9,78901;-8,42116;-6,49269;-5,95371;-5,97831;-5,94966;-5,79046;-5,66203;-5,21673
212;-11,4458;-10,0676;-8,61915;-6,64622;-6,20118;-6,22232;-6,12291;-5,89346;-5,91597;-5,46353
211;-11,5934;-10,3194;-8,93221;-6,93253;-6,60931;-6,44129;-6,40492;-6,13443;-6,02968;-5,74193
210;-11,7088;-10,672;-9,37828;-7,39437;-6,99286;-6,83492;-6,91833;-6,56685;-6,48328;-6,22168
209;-11,7278;-10,5962;-9,74221;-7,86878;-7,43283;-7,27403;-7,15073;-7,12819;-6,92153;-6,50452
208;-11,4677;-10,5921;-9,99256;-8,39148;-7,937;-7,74253;-7,58046;-7,48215;-7,33546;-6,87436
207;-10,9798;-10,2913;-9,89461;-8,85132;-8,57568;-8,39879;-7,96041;-8,04118;-7,87639;-7,3618
206;-9,96588;-9,88416;-9,66963;-9,07783;-9,02603;-8,8211;-8,5932;-8,36705;-8,16348;-7,70997
205;-8,68644;-9,12978;-9,22217;-9,52382;-9,53764;-9,38639;-8,92228;-8,65079;-8,81351;-8,25496
204;-7,42737;-8,27355;-8,53919;-9,59261;-9,86922;-9,56541;-9,26431;-8,96656;-9,32188;-8,5192
203;-5,77642;-7,0764;-7,82956;-9,54911;-9,66603;-9,73666;-9,3926;-9,30181;-9,58318;-9,03404
202;-4,24227;-5,597;-6,97624;-9,52062;-9,59614;-9,51593;-9,4342;-9,32834;-9,41155;-9,08563
201;-2,26491;-4,3556;-6,46675;-9,82891;-9,35686;-9,20528;-9,66275;-9,55492;-9,07474;-9,8786
200;-0,248509;-2,61854;-5,699;-10,21;-8,87956;-9,06336;-9,32225;-8,90023;-8,46315;-8,02419
199;1,76381;-1,15279;-4,26573;-9,11077;-8,36925;-8,46117;-9,07267;-8,11381;-4,88951;-5,99005
198;5,01111;0,512121;-3,22862;-6,53109;-6,73653;-5,84356;-7,12437;-6,34583;1,44473;-1,19532
197;7,36918;1,09525;-1,52451;-5,21624;-4,38512;-4,65052;-4,6792;-5,20111;3,07744;1,08871
196;8,67889;1,51557;0,631539;-1,36561;-4,13462;-2,84361;-1,51819;-3,50049;2,71596;3,41726
195;6,77743;3,19339;2,41708;0,83012;-1,42008;-4,97473;-2,25135;-2,63681;-0,119425;1,8876
194;3,96785;0,0598048;3,61942;-0,166298;1,01341;-1,57802;-1,16487;-1,52661;0,347648;1,44132
193;2,55766;-1,07867;2,77567;-2,68039;1,6774;-2,1153;0,688732;-0,640735;-0,102624;0,129399
192;0,477202;-2,39279;4,7069;-0,347908;-2,11394;-2,14899;0,667333;0,392726;-1,78043;0,413406
191;-2,70506;2,14587;2,71833;0,676771;-2,91725;-1,72463;-0,608191;3,14631;-1,26333;0,938445
190;-2,09329;2,0289;2,85068;0,177192;-4,88187;-1,57798;0,348884;3,41228;-0,886709;2,39081
Channel 2
;25,02;35;40,01;50,01;55,02;59,99;64,99;70;80;95
240;252,476;252,653;252,781;252,894;252,969;253,044;253,201;253,219;253,353;253,704
239;253,396;253,582;253,692;253,8;253,872;253,972;254,107;254,155;254,308;254,662
238;254,414;254,605;254,698;254,82;254,899;254,988;255,129;255,2;255,36;255,711
237;255,549;255,732;255,821;255,947;256,033;256,131;256,258;256,351;256,533;256,883
236;256,793;256,982;257,077;257,205;257,283;257,411;257,545;257,623;257,829;258,169
235;258,033;258,219;258,338;258,438;258,543;258,692;258,833;258,902;259,115;259,464
234;259,386;259,57;259,703;259,807;259,937;260,094;260,239;260,305;260,522;260,888
233;260,874;261,108;261,232;261,342;261,5;261,642;261,793;261,884;262,074;262,461
232;262,016;262,269;262,396;262,541;262,714;262,841;263,001;263,099;263,288;263,689
231;263,407;263,679;263,828;264,023;264,171;264,31;264,486;264,587;264,782;265,186
230;264,901;265,225;265,395;265,613;265,774;265,904;266,114;266,205;266,425;266,834
229;266,386;266,734;266,914;267,17;267,345;267,487;267,704;267,798;268,008;268,448
228;267,974;268,336;268,54;268,822;269,028;269,186;269,388;269,501;269,725;270,153
227;269,609;269,993;270,218;270,555;270,767;270,933;271,126;271,272;271,504;271,941
226;271,304;271,718;271,962;272,351;272,571;272,762;272,939;273,13;273,365;273,81
225;272,933;273,389;273,656;274,09;274,321;274,553;274,698;274,914;275,197;275,643
224;274,634;275,131;275,427;275,917;276,162;276,42;276,582;276,793;277,101;277,594
223;276,264;276,801;277,13;277,678;277,958;278,23;278,397;278,605;278,972;279,481
222;278,052;278,656;279,009;279,638;279,921;280,209;280,431;280,654;281,059;281,625
221;279,821;280,451;280,87;281,553;281,85;282,169;282,44;282,682;283,144;283,777
220;281,479;282,167;282,622;283,372;283,716;284,051;284,353;284,63;285,135;285,852
219;283,49;284,235;284,756;285,561;285,98;286,34;286,674;286,984;287,572;288,422
218;285,357;286,183;286,741;287,639;288,109;288,5;288,866;289,21;289,867;290,884
217;287,356;288,269;288,862;289,862;290,376;290,835;291,251;291,634;292,39;293,613
216;289,452;290,449;291,096;292,207;292,78;293,289;293,79;294,223;295,102;296,566
215;291,571;292,659;293,375;294,617;295,263;295,842;296,395;296,911;297,96;299,757
214;294,049;295,254;296,057;297,469;298,21;298,879;299,535;300,136;301,418;303,658
213;296,789;298,116;299,035;300,638;301,491;302,289;303,032;303,76;305,335;308,121
212;299,992;301,509;302,539;304,398;305,399;306,332;307,238;308,123;310,08;313,644
211;303,366;305,069;306,226;308,377;309,556;310,65;311,739;312,804;315,234;319,728
210;307,355;309,319;310,618;313,179;314,598;315,936;317,269;318,597;321,672;327,447
209;311,924;314,222;315,747;318,831;320,545;322,19;323,842;325,51;329,382;336,815
208;317,556;320,313;322,165;325,949;328,088;330,148;332,225;334,342;339,315;348,934
207;324,05;327,41;329,646;334,335;336,978;339,535;342,159;344,861;351,203;363,664
206;331,325;335,42;338,14;343,904;347,141;350,314;353,615;357,047;365,184;381,119
205;340,319;345,41;348,734;355,994;360,029;364,054;368,237;372,735;383,217;404,09
204;350,209;356,465;360,554;369,595;374,618;379,654;384,876;390,582;404,078;431,175
203;362,579;370,414;375,551;386,942;393,328;399,762;406,48;413,928;431,69;467,81
202;378,204;388,144;394,7;409,351;417,627;426,088;434,976;444,859;468,922;518,479
201;396,64;409,43;417,818;436,731;447,511;458,69;470,696;484,05;516,992;585,286
200;419,802;436,629;447,568;472,611;487,046;502,285;518,824;537,39;583,366;679,695
199;446,253;468,312;482,61;515,725;534,946;555,614;578,298;603,94;667,547;799,283
198;481,361;511,359;530,695;576,06;602,643;631,528;663,804;700,308;789,218;942,54
197;524,298;565,065;591,297;653,434;690,174;730,405;774,915;824,082;927,245;1042,54
196;583,506;640,514;676,926;763,555;813,443;865,939;917,344;963,435;1036,8;1087,65
195;661,81;741,21;790,338;899,703;950,618;993,597;1028,78;1056,39;1086,26;1089,03
194;767,428;868,116;924,218;1017,31;1049,12;1071,28;1084,19;1088,77;1089,02;1089,23
193;892,503;989,942;1031,57;1079,88;1087,85;1088,95;1089,06;1089,23;1089,21;1089,37
192;1002,87;1066,45;1083,24;1088,95;1089,06;1089,26;1089,28;1089,43;1089,36;1089,46
191;1055,28;1087;1088,89;1089,19;1089,24;1089,42;1089,43;1089,55;1089,45;1089,51
190;1066,86;1085,01;1089,15;1089,34;1089,36;1089,51;1089,53;1089,64;1089,53;1089,54
